Num,Question,Option1,Option2,Option3,Option4,Option5
1,My hobbies are,drawing/painting,reading/writing,sports,music,dance
2,I would prefer to,go to the theater,go on a hike,travel,play with animals,
3,My favorite subject is,math,history,biology,english,languages
4,When working on a project I prefer to,work in a group,work alone,,,
5,I prefer to,discover something new,create something new,,,
6,When working in teams I prefer to,lead a team and manage outcomes,work in a team and make things happen,,,
